id;nom_entreprise;nom_poste;date_experience;description_experience
1;Frozen;Investment Picardie Home;2022-02-10T23:25:12;Maroc Bourgogne Gambie
2;cutting-edge;circuit Table Account;2022-02-10T13:14:00;Kwacha Peso
3;la bypassing withdrawal;bandwidth parse;2022-02-10T16:17:05;Cambridgeshire Rubber Kip
4;Ouguiya back-end Paris;Plastic;2022-02-11T07:05:05;distributed
5;Berkshire Frozen;compress open-source primary;2022-02-11T05:55:57;AI Auto Generic
6;Account;a auxiliary structure;2022-02-10T12:10:51;b Card Account
7;engineer;Steel;2022-02-10T10:51:40;tolerance
8;Manager transmitting Jordan;Chicken Venezuela;2022-02-10T23:32:51;system
9;infomediaries overriding;Wooden;2022-02-10T13:14:55;web-readiness b e-business
10;Shoes revolutionize;a platforms relationships;2022-02-11T03:19:37;Buckinghamshire b Awesome
